Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,TS%,PER,VA,EWA,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP
Steven Adams,C,26.0,OKC,58.0,58.0,1564.0,262.0,443.0,0.591,1.0,3.0,0.33299999999999996,261.0,440.0,0.593,0.593,108.0,183.0,0.59,196.0,347.0,543.0,141.0,50.0,65.0,86.0,111.0,633.0,0.6,19.4,205.42,6.8,14.1,17.2,3.7,2.5,6.2,0.19,2.1,1.1,3.2,2.0
Bam Adebayo,PF,22.0,MIA,65.0,65.0,2235.0,408.0,719.0,0.5670000000000001,1.0,13.0,0.077,407.0,706.0,0.5760000000000001,0.568,236.0,342.0,0.69,165.0,518.0,683.0,333.0,78.0,85.0,185.0,164.0,1053.0,0.61,18.42,230.84,7.7,17.5,20.8,4.6,3.6,8.1,0.175,1.6,2.1,3.6,3.2
LaMarcus Aldridge,C,34.0,SAS,53.0,53.0,1754.0,391.0,793.0,0.493,61.0,157.0,0.389,330.0,636.0,0.519,0.532,158.0,191.0,0.8270000000000001,103.0,289.0,392.0,129.0,36.0,87.0,74.0,128.0,1001.0,0.57,18.39,203.94,6.8,7.8,23.6,3.1,1.4,4.4,0.122,1.8,-0.5,1.3,1.5
Nickeil Alexander-Walker,SG,21.0,NOP,41.0,0.0,501.0,77.0,227.0,0.33899999999999997,40.0,117.0,0.342,37.0,110.0,0.336,0.42700000000000005,17.0,28.0,0.607,8.0,72.0,80.0,74.0,11.0,7.0,40.0,46.0,211.0,0.44,8.87,-12.19,-0.4,14.3,22.8,-0.7,0.4,-0.4,-0.034,-3.5,-1.4,-4.9,-0.4
Grayson Allen,SG,24.0,MEM,30.0,0.0,498.0,79.0,176.0,0.449,33.0,91.0,0.363,46.0,85.0,0.541,0.5429999999999999,30.0,35.0,0.857,5.0,61.0,66.0,43.0,6.0,1.0,23.0,36.0,221.0,0.58,11.41,6.76,0.2,10.7,17.9,0.5,0.3,0.7,0.07,-1.0,-1.5,-2.6,-0.1
Jarrett Allen,C,21.0,BRK,64.0,58.0,1647.0,267.0,413.0,0.6459999999999999,0.0,5.0,0.0,267.0,408.0,0.654,0.6459999999999999,147.0,237.0,0.62,195.0,410.0,605.0,85.0,37.0,85.0,72.0,144.0,681.0,0.66,18.82,202.06,6.7,12.2,15.0,4.3,2.8,7.1,0.207,1.0,1.1,2.1,1.7
Kadeem Allen,SG,27.0,NYK,10.0,0.0,117.0,19.0,44.0,0.43200000000000005,5.0,16.0,0.313,14.0,28.0,0.5,0.489,7.0,11.0,0.636,2.0,7.0,9.0,21.0,5.0,2.0,8.0,7.0,50.0,0.51,13.14,4.61,0.2,14.1,20.6,0.1,0.1,0.1,0.053,0.0,-0.6,-0.6,0.0
Al-Farouq Aminu,PF,29.0,ORL,18.0,2.0,380.0,25.0,86.0,0.29100000000000004,9.0,36.0,0.25,16.0,50.0,0.32,0.34299999999999997,19.0,29.0,0.655,24.0,63.0,87.0,21.0,18.0,8.0,17.0,27.0,78.0,0.39,6.63,-27.62,-0.9,14.7,13.2,-0.4,0.5,0.1,0.016,-4.5,1.4,-3.1,-0.1
Justin Anderson,SF,26.0,BRK,3.0,0.0,17.0,1.0,6.0,0.16699999999999998,0.0,3.0,0.0,1.0,3.0,0.33299999999999996,0.16699999999999998,1.0,2.0,0.5,0.0,2.0,2.0,0.0,0.0,1.0,0.0,2.0,3.0,0.22,-5.64,-4.1,-0.1,0.0,16.9,-0.1,0.0,-0.1,-0.16699999999999998,-12.8,-2.3,-15.1,-0.1
Kyle Anderson,PF,26.0,MEM,59.0,20.0,1140.0,138.0,280.0,0.493,16.0,62.0,0.258,122.0,218.0,0.56,0.521,43.0,66.0,0.652,54.0,203.0,257.0,132.0,46.0,31.0,55.0,85.0,335.0,0.54,13.69,37.26,1.2,15.1,13.3,0.9,1.4,2.2,0.095,-1.3,1.9,0.6,0.7
