Rk,Player,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP
1,Steven Adams\adamsst01,14.1,17.2,3.7,2.5,6.2,.190,2.1,1.1,3.2,2.0
2,Bam Adebayo\adebaba01,17.5,20.8,4.6,3.6,8.1,.175,1.6,2.1,3.6,3.2
3,LaMarcus Aldridge\aldrila01,7.8,23.6,3.1,1.4,4.4,.122,1.8,-0.5,1.3,1.5
4,Nickeil Alexander-Walker\alexani01,14.3,22.8,-0.7,0.4,-0.4,-0.034,-3.5,-1.4,-4.9,-0.4
5,Grayson Allen\allengr01,10.7,17.9,0.5,0.3,0.7,.070,-1.0,-1.5,-2.6,-0.1
6,Jarrett Allen\allenja01,12.2,15.0,4.3,2.8,7.1,.207,1.0,1.1,2.1,1.7
7,Kadeem Allen\allenka01,14.1,20.6,0.1,0.1,0.1,.053,0.0,-0.6,-0.6,0.0
8,Al-Farouq Aminu\aminual01,14.7,13.2,-0.4,0.5,0.1,.016,-4.5,1.4,-3.1,-0.1
9,Justin Anderson\anderju01,0.0,16.9,-0.1,0.0,-0.1,-0.167,-12.8,-2.3,-15.1,-0.1
10,Kyle Anderson\anderky01,15.1,13.3,0.9,1.4,2.2,.095,-1.3,1.9,0.6,0.7
11,Ryan Anderson\anderry01,12.5,23.6,0.0,0.0,0.0,-0.031,-4.1,0.7,-3.4,0.0
12,Giannis Antetokounmpo\antetgi01,13.1,37.4,5.6,4.8,10.4,.282,7.4,4.1,11.5,6.0
13,Kostas Antetokounmpo\antetko01,,0.0,0.0,0.0,0.0,.136,1.2,3.1,4.3,0.0
14,Thanasis Antetokounmpo\antetth01,20.5,23.8,0.0,0.2,0.2,.083,-4.0,1.7,-2.3,0.0
15,Carmelo Anthony\anthoca01,10.5,21.6,0.1,0.9,1.0,.029,-1.9,-1.8,-3.7,-0.7
16,OG Anunoby\anunoog01,11.7,14.4,1.8,3.3,5.1,.130,-0.9,1.8,0.9,1.4
17,Ryan Arcidiacono\arcidry01,13.5,12.5,0.7,0.7,1.4,.070,-2.7,-0.1,-2.8,-0.2
18,Trevor Ariza\arizatr01,13.6,11.9,1.3,1.3,2.6,.084,-1.5,0.9,-0.5,0.6
18,Trevor Ariza\arizatr01,13.7,11.3,0.3,0.8,1.1,.069,-1.9,1.3,-0.6,0.3
18,Trevor Ariza\arizatr01,13.5,12.6,1.0,0.5,1.5,.101,-1.0,0.5,-0.5,0.3
19,D.J. Augustin\augusdj01,12.9,19.1,1.8,0.8,2.6,.101,-0.3,-1.0,-1.4,0.2
20,Deandre Ayton\aytonde01,12.4,24.3,1.1,1.3,2.4,.117,0.8,-0.4,0.5,0.6
21,Dwayne Bacon\bacondw01,12.2,19.5,-1.2,0.4,-0.8,-0.053,-5.9,-0.9,-6.8,-0.8
22,Marvin Bagley III\baglema01,9.1,25.9,0.0,0.4,0.4,.055,-2.1,-1.3,-3.4,-0.1
23,Lonzo Ball\balllo01,20.7,18.6,0.7,1.9,2.6,.068,0.4,0.6,1.0,1.3
24,Mo Bamba\bambamo01,12.2,17.2,0.9,1.7,2.5,.140,-1.1,1.7,0.5,0.6
25,J.J. Barea\bareajo01,15.8,24.3,0.5,0.2,0.7,.084,1.8,-2.7,-1.0,0.1
26,Harrison Barnes\barneha02,8.9,17.6,3.1,1.1,4.2,.091,0.0,-1.2,-1.2,0.5
27,RJ Barrett\barrerj01,12.9,24.0,-1.6,1.1,-0.5,-0.015,-2.8,-1.5,-4.3,-1.0
28,Will Barton\bartowi01,9.9,20.0,2.4,2.1,4.5,.113,1.2,-0.1,1.2,1.5
29,Keita Bates-Diop\bateske01,5.5,15.6,0.6,0.5,1.1,.081,-0.8,-0.1,-0.8,0.2
29,Keita Bates-Diop\bateske01,5.6,15.8,0.6,0.5,1.0,.076,-0.8,-0.1,-0.9,0.2
29,Keita Bates-Diop\bateske01,0.0,8.6,0.1,0.0,0.1,.218,0.0,0.1,0.0,0.0
30,Nicolas Batum\batumni01,20.5,9.4,0.2,0.4,0.6,.055,-2.7,0.9,-1.9,0.0
31,Aron Baynes\baynear01,10.8,21.1,1.3,0.7,2.0,.103,-0.2,-0.9,-1.1,0.2
32,Kent Bazemore\bazemke01,13.2,17.2,-0.8,1.5,0.7,.020,-3.4,0.4,-3.0,-0.4
32,Kent Bazemore\bazemke01,14.4,16.0,-1.0,0.9,-0.1,-0.005,-3.6,0.4,-3.2,-0.3
32,Kent Bazemore\bazemke01,11.1,19.9,0.2,0.6,0.8,.077,-3.0,0.4,-2.6,-0.1
33,Darius Bazley\bazleda01,13.8,14.1,-0.8,1.2,0.4,.019,-3.1,0.6,-2.5,-0.1
